#Maquina;Producto;Elemento;Proc-Puerto;Estado
tehrhov4;Conector Consist AD;;/apps/adsconnector/adsdaemn;[OK]
tehrhov4;Conector Consist AD;;7672;[OK]
tehrhov4;Micro Focus Enterprise Server;MDFS;/apps/microfocus/EnterpriseDeveloper/bin/mfds32;[OK]
tehrhov4;Micro Focus Enterprise Server;Licencia;/var/microfocuslicensing/bin/mfcesd;[OK]
tehrhov4;Micro Focus Enterprise Server;Fileshare;/apps/microfocus/EnterpriseDeveloper/bin/rts32;[OK]
tehrhov4;Micro Focus Enterprise Server;Escwa;/apps/microfocus/EnterpriseDeveloper/bin/escwa32;[OK]
tehrhov4;Micro Focus Enterprise Server;MFDS;86;[OK]
tehrhov4;Micro Focus Enterprise Server;ESCWA;10086;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23001;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23002;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23003;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23004;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23005;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23006;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23007;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23008;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23009;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23010;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23011;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23012;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23013;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23014;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23015;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23016;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23017;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23018;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23019;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23020;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23021;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23022;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23023;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23024;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23025;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23026;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23027;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23028;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23029;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23030;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23031;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23032;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23033;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23034;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23035;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23036;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23037;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23038;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23039;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23040;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23041;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23091;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23092;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23093;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23094;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23095;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23096;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23097;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23098;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23099;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23100;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23101;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23102;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23103;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23106;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23107;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;23108;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;50091;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;50092;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;50108;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55000;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55001;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55002;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55003;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55004;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55005;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55006;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55007;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55008;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55009;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55010;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55011;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55012;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55013;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55014;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55015;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55016;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55017;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55018;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55019;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55020;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55021;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55022;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55023;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55024;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55025;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55026;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55027;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55028;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55029;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55030;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55031;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55032;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55033;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55034;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55035;[OK]
tehrhov4;Micro Focus Enterprise Server;Región CICS;55036;[OK]
